2026-06-07 10:59:32 | INFO     | http | GET /api/v1/users/me → 200 [47.4ms] ip=127.0.0.1
2026-06-07 10:59:32 | INFO     | http | GET /api/v1/users/me → 200 [59.2ms] ip=127.0.0.1
2026-06-07 10:59:32 | INFO     | http | GET /api/v1/users/me/activity → 200 [517.7ms] ip=127.0.0.1
2026-06-07 10:59:32 | INFO     | http | GET /api/v1/summaries/ → 200 [586.5ms] ip=127.0.0.1
2026-06-07 10:59:32 | INFO     | http | GET /api/v1/admin/analytics → 200 [254.1ms] ip=127.0.0.1
2026-06-07 10:59:32 | INFO     | http | GET /api/v1/users/me → 200 [132.3ms] ip=127.0.0.1
2026-06-07 11:00:07 | INFO     | http | GET /api/v1/admin/users → 200 [22.8ms] ip=127.0.0.1
2026-06-07 11:00:15 | INFO     | http | GET /api/v1/admin/summaries → 200 [46.6ms] ip=127.0.0.1
2026-06-07 11:00:17 | INFO     | http | GET /api/v1/admin/logs → 200 [27.8ms] ip=127.0.0.1
2026-06-07 11:00:19 | INFO     | http | GET /api/v1/admin/settings → 200 [51.0ms] ip=127.0.0.1
2026-06-07 11:01:01 | INFO     | http | GET /api/v1/admin/logs → 200 [11.5ms] ip=127.0.0.1
2026-06-07 11:01:31 | INFO     | http | GET /api/v1/admin/logs → 200 [17.5ms] ip=127.0.0.1
2026-06-07 11:16:02 | INFO     | http | GET /api/v1/admin/logs → 200 [423.5ms] ip=127.0.0.1
2026-06-07 11:16:05 | INFO     | http | GET /api/v1/admin/settings → 200 [63.2ms] ip=127.0.0.1
2026-06-07 11:16:18 | INFO     | http | PUT /api/v1/admin/settings/max_uploads_per_day → 200 [154.6ms] ip=127.0.0.1
2026-06-07 11:16:18 | INFO     | http | GET /api/v1/admin/settings → 200 [15.3ms] ip=127.0.0.1
2026-06-07 11:16:51 | INFO     | http | GET /api/v1/admin/analytics → 200 [68.6ms] ip=127.0.0.1
2026-06-07 11:17:03 | INFO     | websocket | WS disconnected  user=eaa2026e-5a98-4cfe-babc-a0fe84358ec9  total_connections=0
